Metric,Value
Average,49.18093325618597
Median,2.0
Mode,1
Count in Range 1-10,25507
Count in Range 11-20,2036
Count in Range 21-30,725
Count in Range 31-40,356
Count in Range 41-50,176
Count in Range 51-60,107
Count in Range 61-70,79
Count in Range 71-80,63
Count in Range 81-90,45
Count in Range 91-100,34
Count in Range 101-201,162
Count in Range 202-403,56
Count in Range 404-807,20
Count in Range 808-1615,12
Count in Range 1616-3231,1
Count in Range 3232-6463,0
Count in Range 6464-12927,1
Count in Range 12928-25855,0
Count in Range 25856-51711,0
Count in Range 51712-103423,0
Count in Range 103424-206847,0
Count in Range 206848-413695,0
Count in Range 413696-827391,0
Count in Range 827392-1654783,1
